Song,Artist,Date,Streams,Url,Track_Id,Rank
Kings & Queens,Ava Max,2020-05-15,"6,276,241",https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn,76nqCfJOcFFWBJN32PAksn,98
Like That (feat. Gucci Mane),Doja Cat,2020-05-15,"6,265,648",https://open.spotify.com/track/4EivmOT13NMpNSfTKn9p4s,4EivmOT13NMpNSfTKn9p4s,99
Level of Concern,Twenty One Pilots,2020-05-15,"6,237,173",https://open.spotify.com/track/6xZ4Q2k2ompmDppyeESIY8,6xZ4Q2k2ompmDppyeESIY8,100
when the party's over,Billie Eilish,2020-05-15,"6,226,671",https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,43zdsphuZLzwA9k4DJhU0I,101
CITY OF ANGELS,24kGoldn,2020-05-15,"6,208,728",https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq,6ap9lSRJ0iLriGLqoJ44cq,102
You should be sad,Halsey,2020-05-15,"6,205,571",https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK,7lidXGPXPYLNThITAOTlkK,103
Know Your Worth,"Khalid, Disclosure",2020-05-15,"6,201,670",https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf,0TrPqhAMoaKUFLR7iYDokf,104
All Bad (feat. Lil Uzi Vert),Future,2020-05-15,"6,194,224",https://open.spotify.com/track/021lWIHJrURZrmvYQ1xcM8,021lWIHJrURZrmvYQ1xcM8,105
Believer,Imagine Dragons,2020-05-15,"6,117,756",https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,0pqnGHJpmpxLKifKRmU6WP,106
Pain 1993 (with Playboi Carti),Drake,2020-05-15,"6,085,143",https://open.spotify.com/track/6Kj17Afjo1OKJYpf5VzCeo,6Kj17Afjo1OKJYpf5VzCeo,107
rockstar (feat. 21 Savage),Post Malone,2020-05-15,"6,071,134",https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,0e7ipj03S05BNilyu5bRzt,108
This City,Sam Fischer,2020-05-15,"6,061,520",https://open.spotify.com/track/3H3r2nKWa3Yk5gt8xgmsEt,3H3r2nKWa3Yk5gt8xgmsEt,109
Trillionaire (feat. Youngboy Never Broke Again),Future,2020-05-15,"6,057,848",https://open.spotify.com/track/740kQ8xwSGloumdiKR5Cwz,740kQ8xwSGloumdiKR5Cwz,110
Selfish,Madison Beer,2020-05-15,"6,052,628",https://open.spotify.com/track/4PV0uE5pZSh44E3NqNNDEH,4PV0uE5pZSh44E3NqNNDEH,111
Falling,Harry Styles,2020-05-15,"6,039,862",https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,1ZMiCix7XSAbfAJlEZWMCp,112
