Song,Artist,Date,Streams,Url,Rank
SOLO,JENNIE,2019-01-04,"5,956,033",https://open.spotify.com/track/2wVDWtLKXunswWecARNILj,112
New Rules,Dua Lipa,2019-01-04,"5,925,292",https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O,113
This Feeling,"The Chainsmokers, Kelsea Ballerini",2019-01-04,"5,925,138",https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl,114
Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,2019-01-04,"5,906,612",https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW,115
"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse",Nicki Minaj,2019-01-04,"5,872,266",https://open.spotify.com/track/4Uy3kNxW2kB8AEoXljEcth,116
Butterfly Doors,Lil Pump,2019-01-04,"5,829,912",https://open.spotify.com/track/4NdXQlDTzxbOMkzJGWFtz3,117
God is a woman,Ariana Grande,2019-01-04,"5,815,530",https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C,118
Electricity (with Dua Lipa),"Silk City, Diplo, Mark Ronson",2019-01-04,"5,806,209",https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk,119
Best Part (feat. Daniel Caesar),H.E.R.,2019-01-04,"5,737,658",https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig,120
Say You Won't Let Go,James Arthur,2019-01-04,"5,733,167",https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,121
Culpables,"KAROL G, Anuel AA",2019-01-04,"5,688,412",https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH,122
Under Pressure - Remastered,"Queen, David Bowie",2019-01-04,"5,586,372",https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x,123
Too Good At Goodbyes,Sam Smith,2019-01-04,"5,571,631",https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,124
Woman Like Me (feat. Nicki Minaj),Little Mix,2019-01-04,"5,507,540",https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED,125
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,2019-01-04,"5,497,503",https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e,126
Fuck Love (feat. Trippie Redd),XXXTENTACION,2019-01-04,"5,478,008",https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2,127
Look Alive (feat. Drake),BlocBoy JB,2019-01-04,"5,476,610",https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL,128
Always Remember Us This Way,Lady Gaga,2019-01-04,"5,467,451",https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk,129
Amigos Con Derechos,"Reik, Maluma",2019-01-04,"5,445,003",https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA,130
I'm a Mess,Bebe Rexha,2019-01-04,"5,421,941",https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R,131
Somebody To Love - 2011 Mix,Queen,2019-01-04,"5,361,535",https://open.spotify.com/track/6cFZ4PLC19taNlpl9pbGMf,132
Créeme,"KAROL G, Maluma",2019-01-04,"5,256,699",https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz,133
Lucky You (feat. Joyner Lucas),Eminem,2019-01-04,"5,235,879",https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0,134
