,Song,Artist,Date,Streams,Url,Track_Id,Rank,valence
642,Better,Khalid,2019-01-25,"10,549,558",https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,6zeeWid2sgw4lap2jV61PZ,43,0.2568745743460713
643,Moonlight,XXXTENTACION,2019-01-25,"10,299,040",https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,0JP9xo3adEtGSdUEISiszL,44,0.07414628906400189
644,Leave Me Alone,Flipp Dinero,2019-01-25,"10,196,801",https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,14mHfNsSHN0FbLftyjrV9g,45,0.07876037639590583
645,Wake Up in the Sky,"Gucci Mane, Bruno Mars, Kodak Black",2019-01-25,"10,191,897",https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud,2G1tXoGBaEMJ7FKGnkf6ud,46,0.4033431436647631
646,Arms Around You (feat. Maluma & Swae Lee),"XXXTENTACION, Lil Pump",2019-01-25,"10,026,086",https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2LskIZrCeLxRvCiGP8gxlh,47,0.8073163700728055
647,a lot,21 Savage,2019-01-25,"9,991,040",https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,2t8yVaLvJ0RenpXUIAC52d,48,0.688611368519306
648,In My Mind,"Dynoro, Gigi D'Agostino",2019-01-25,"9,771,676",https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,0E9ZjEAyAwOXZ7wJC0PD33,49,0.8098583828075171
649,Amanece,"Anuel AA, Haze",2019-01-25,"9,651,080",https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,1LiN0Z98FkR1t0m8KmLcAH,50,0.6204171795849505
650,rockstar (feat. 21 Savage),Post Malone,2019-01-25,"9,628,244",https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,0e7ipj03S05BNilyu5bRzt,51,0.6323024104852601
651,lovely,"Billie Eilish, Khalid",2019-01-25,"9,447,711",https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf,1NJcg626wLln4pGHpiV7mf,52,0.9530869910899228
652,Nights Like This (feat. Ty Dolla $ign),Kehlani,2019-01-25,"9,402,938",https://open.spotify.com/track/7e4KQkp5ZR1gXCAalRjX6B,7e4KQkp5ZR1gXCAalRjX6B,53,0.44911802630119824
653,Promises (with Sam Smith),"Calvin Harris, Jessie Reyez",2019-01-25,"8,940,322",https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,5N5k9nd479b1xpDZ4usjrg,54,0.22641339753362644
654,Taste (feat. Offset),Tyga,2019-01-25,"8,881,898",https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,5IaHrVsrferBYDm0bDyABy,55,0.016643376829034384
655,NI BIEN NI MAL,Bad Bunny,2019-01-25,"8,693,828",https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8,278kSqsZIiYp8p3QjYAqa8,56,0.23800200423626938
656,Keanu Reeves,Logic,2019-01-25,"8,683,204",https://open.spotify.com/track/25F6MWrnFBCXVnpN4n76EK,25F6MWrnFBCXVnpN4n76EK,57,0.9326217787379552
657,Youngblood,5 Seconds of Summer,2019-01-25,"8,609,378",https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2iUXsYOEPhVqEBwsqP70rE,58,0.1093139822013337
658,Imposible,"Luis Fonsi, Ozuna",2019-01-25,"8,431,792",https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm,3ao3OVxHlb3C08vAaApUlm,59,0.12987270221255576
659,imagine,Ariana Grande,2019-01-25,"8,397,739",https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F,0todbbT9g5uQGbeFCiBf2F,60,0.12380177357504618
660,no tears left to cry,Ariana Grande,2019-01-25,"8,385,657",https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,2qT1uLXPVPzGgFOx4jtEuo,61,0.6667280114509742
661,Bad Liar,Imagine Dragons,2019-01-25,"8,329,498",https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,2RSHsoi04658QL5xgQVov3,62,0.6170538258375224
662,I Like It,"Cardi B, Bad Bunny, J Balvin",2019-01-25,"8,159,976",https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,58q2HKrzhC3ozto2nDdN4z,63,0.8939854643661789
663,Love Someone,Lukas Graham,2019-01-25,"7,904,164",https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,3id2EVGKc3eFAMn9nFnB0r,64,0.7130066132113353
664,Money,Cardi B,2019-01-25,"7,896,133",https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,2GGMabyHXnJmjY6CXhhB2e,65,0.9125537400415782
665,Solo de Mi,Bad Bunny,2019-01-25,"7,858,706",https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,4uP3pUP18ennmz0tb3GphR,66,0.6319623198609311
666,Te Vi,"Piso 21, Micro TDH",2019-01-25,"7,856,953",https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd,059bcIhyc2SBwm6sw2AZzd,67,0.053592607484792665
667,Jocelyn Flores,XXXTENTACION,2019-01-25,"7,825,637",https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,7m9OqQk4RVRkw9JJdeAw96,68,0.6963179604083665
668,Let Me Down Slowly,Alec Benjamin,2019-01-25,"7,824,196",https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,2qxmye6gAegTMjLKEBoR3d,69,0.4653190817481804
669,God's Plan,Drake,2019-01-25,"7,792,081",https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,6DCZcSspjsKoFjzjrWoCdn,70,0.8249521000782333
670,Vaina Loca,"Ozuna, Manuel Turizo",2019-01-25,"7,787,684",https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,48zFZh27QU5qsrBjn4C2FA,71,0.6156692827875619
671,First Off (feat. Travis Scott),Future,2019-01-25,"7,786,463",https://open.spotify.com/track/3WRIaWsws011vHMd9uzPjG,3WRIaWsws011vHMd9uzPjG,72,0.48999365194646427
672,Ruin My Life,Zara Larsson,2019-01-25,"7,685,015",https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU,5tAa8Uaqr4VvA3693mbIhU,73,0.6165140211956482
673,Natural,Imagine Dragons,2019-01-25,"7,589,030",https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT,2FY7b99s15jUprqC0M5NCT,74,0.05994635138557025
674,Bubalu,"Becky G, Prince Royce, DJ Luian, Mambo Kingz, Anuel AA",2019-01-25,"7,583,254",https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,7dNwJbsT0sg1le5kVugGJb,75,0.813173228188306
675,Reggaeton,J Balvin,2019-01-25,"7,566,171",https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,2D3z17LBMJ2HEHeBFFjTLi,76,0.44113889869752565
676,2002,Anne-Marie,2019-01-25,"7,526,138",https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2BgEsaKNfHUdlh97KmvFyo,77,0.46094280933629905
677,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,2019-01-25,"7,462,794",https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb,0jAfdqv18goRTUxm3ilRjb,78,0.6219287808434688
678,Beautiful (feat. Camila Cabello),Bazzi,2019-01-25,"7,406,737",https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,4VUwkH455At9kENOfzTqmF,79,0.3760175192895685
679,Con Calma,"Daddy Yankee, Snow",2019-01-25,"7,331,224",https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,5w9c2J52mkdntKOmRLeM2m,80,0.5640448537134167
680,Sauce!,XXXTENTACION,2019-01-25,"7,263,382",https://open.spotify.com/track/3jq1RpStaB1YGyN3rRZGca,3jq1RpStaB1YGyN3rRZGca,81,0.1988611651077079
681,Body (feat. brando),Loud Luxury,2019-01-25,"7,256,070",https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,7K7MUBCnzgBAvMVW2RTWNs,82,0.2911014809953528
